"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_name"
"ENSG00000066279",1.29843603214975,1.40343843643782,6.34777850080979,3.78042257651732e-09,3.5503646281952e-05,10.098425525609,"ASPM"
"ENSG00000101425",1.77472820765126,5.06063511229971,6.34306131481407,3.86876389691097e-09,3.5503646281952e-05,10.5840341725079,"BPI"
"ENSG00000117643",-0.70908382999791,3.04592892712032,-6.13928465457799,1.04126426861777e-08,6.37045479540354e-05,9.52491235882827,"MAN1C1"
"ENSG00000242550",1.56121134120713,3.08245984473042,5.90712131000417,3.15531525832482e-08,0.000129424524426042,8.53381684355048,"SERPINB10"
"ENSG00000197632",1.83173849828265,2.64275837158269,5.85840460001741,3.9708636356927e-08,0.000129424524426042,8.26756971577655,"SERPINB2"
"ENSG00000134827",1.54228811161657,5.30990782274035,5.84492428991442,4.23094228264276e-08,0.000129424524426042,8.33577701211244,"TCN1"
"ENSG00000179869",1.12511242414184,3.26526313706594,5.73383994368814,7.1157693206333e-08,0.000186575471587005,7.8049568100937,"ABCA13"
"ENSG00000138160",0.79921422732057,2.36245766172642,5.57813415750156,1.46159421618097e-07,0.00033532625304732,7.04097912813773,"KIF11"
"ENSG00000183576",0.650511739926702,5.06928391082793,5.53871143395269,1.75080154409993e-07,0.000357046794893445,7.00159537568888,"SETD3"
"ENSG00000187446",0.473849672868532,6.90861755789917,5.45977537357358,2.50795616557738e-07,0.000460310274630072,6.66416144973367,"CHP1"
"ENSG00000072274",0.62261652140247,7.31161894491015,5.39258180165046,3.39785196265125e-07,0.000550992729620939,6.37915206725126,"TFRC"
"ENSG00000148175",1.13517665890253,7.92043026191722,5.37959124727966,3.60243693769819e-07,0.000550992729620939,6.31942183694312,"STOM"
"ENSG00000123080",1.18519654155988,2.76438657140664,5.26350684045761,6.05284964333035e-07,0.000760061207773836,5.80950997990431,"CDKN2C"
"ENSG00000100031",0.593699019126982,5.41302699793774,5.25091443065793,6.40085434613886e-07,0.000760061207773836,5.78513667044513,"GGT1"
"ENSG00000065618",0.857837294444959,3.60478606783087,5.2471594750891,6.50835168761629e-07,0.000760061207773836,5.77016448740498,"COL17A1"
"ENSG00000272398",1.56374478278051,5.62180258926129,5.23475634105728,6.87609243717559e-07,0.000760061207773836,5.71940910391076,"CD24"
"ENSG00000140941",0.57672460139279,7.11825248170502,5.2294382659394,7.03990439803597e-07,0.000760061207773836,5.69961627852871,"MAP1LC3B"
"ENSG00000134242",0.71848181365791,6.59338789463563,5.173330597622,9.017348014424e-07,0.000826585860748533,5.4668155195096,"PTPN22"
"ENSG00000155307",1.23836476231691,8.15815525834802,5.1509682117846,9.94812922741161e-07,0.000826585860748533,5.37601563104927,"SAMSN1"
"ENSG00000025039",0.619740618915758,4.75862959601136,5.14897053273307,1.00356918982779e-06,0.000826585860748533,5.36597732817313,"RRAGD"
"ENSG00000101842",-1.08676722320435,2.3350749195983,-5.14789649796038,1.00830790929412e-06,0.000826585860748533,5.24602204167868,"VSIG1"
"ENSG00000011426",1.10472207330151,3.35013254264807,5.14422510053303,1.02467156270216e-06,0.000826585860748533,5.34512451424786,"ANLN"
"ENSG00000058091",0.670276890682252,5.74641068324246,5.12462442372443,1.11650661639765e-06,0.000826585860748533,5.26382240218305,"CDK14"
"ENSG00000172819",-0.889644198392468,3.02442480493057,-5.11395316450689,1.16982503898242e-06,0.000826585860748533,5.19389319720255,"RARG"
"ENSG00000167460",0.578420066496125,7.32386259980773,5.10953423181763,1.19262278464276e-06,0.000826585860748533,5.2086516499038,"TPM4"
"ENSG00000183688",0.923622063222334,5.56349926027149,5.09344758011847,1.27932716887924e-06,0.000826585860748533,5.13677868193808,"RFLNB"
"ENSG00000168970",-0.893390893034684,1.54302658021186,-5.08865097648427,1.30634701075319e-06,0.000826585860748533,4.80977541576817,"JMJD7-PLA2G4B"
"ENSG00000215788",-1.22732938122174,2.82211046443001,-5.0837457775472,1.33455287289179e-06,0.000826585860748533,5.04781452473466,"TNFRSF25"
"ENSG00000164104",1.05279016400365,7.21897322051921,5.08235814916584,1.34263899755464e-06,0.000826585860748533,5.09839333280522,"HMGB2"
"ENSG00000136810",0.799281069993033,7.56680425677031,5.08091963006864,1.35107201822251e-06,0.000826585860748533,5.09327326489861,"TXN"
"ENSG00000102543",1.00878307248123,4.52239792110562,5.04379751128367,1.58742554696789e-06,0.000939858338356408,4.93930990322289,"CDADC1"
"ENSG00000126787",1.01520158228546,1.7154252572601,4.99341947721971,1.97343112603952e-06,0.00113188609022904,4.62242338074528,"DLGAP5"
"ENSG00000065154",0.675187598580829,5.99367616537569,4.98438711374256,2.05168337786883e-06,0.0011411089914365,4.69554063248899,"OAT"
"ENSG00000137801",1.06648637953175,4.84443973475377,4.96253246584428,2.25370770731704e-06,0.00119561205561826,4.61017999168477,"THBS1"
"ENSG00000118520",1.26367563118184,7.68993364813747,4.95983328736078,2.27996196723542e-06,0.00119561205561826,4.60822587251469,"ARG1"
"ENSG00000171453",-0.395135870806758,3.50630479526406,-4.93192928081993,2.5693972249241e-06,0.00130996435184047,4.49642734087706,"POLR1C"
"ENSG00000160185",-1.18639345257317,2.62066239239347,-4.91110109592391,2.80839535379374e-06,0.00132031079888948,4.35889309637815,"UBASH3A"
"ENSG00000206190",-0.79400612169698,4.0360950979617,-4.90419157555146,2.8923477432262e-06,0.00132031079888948,4.38882587513571,"ATP10A"
"ENSG00000186854",-0.547579004474048,4.61171647909038,-4.89982212242979,2.94669015254857e-06,0.00132031079888948,4.36498151162774,"TRABD2A"
