gene_id,gene_name,chr,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000000003,TSPAN6,X,0.259145163,3.080505613,2.662132958,0.008807446,0.171060168,-2.675809412
ENSG00000000005,TNMD,X,0.052767182,-2.263756067,0.131709273,0.895430465,0.976452712,-5.035872897
ENSG00000000419,DPM1,20,-0.064606263,4.33003029,-0.47983014,0.632204344,0.900894364,-5.913819456
ENSG00000000457,SCYL3,1,-0.051929543,4.293155512,-0.567189655,0.571623906,0.881286218,-5.868617238
ENSG00000000460,C1orf112,1,0.054536216,3.88925661,0.665590909,0.50692474,0.852804461,-5.772881865
ENSG00000000938,FGR,1,0.194535956,8.907221194,1.313011043,0.191635098,0.632899096,-5.122491608
ENSG00000000971,CFH,1,-0.09743384,1.947976448,-0.563394631,0.574196678,0.882194661,-5.535887144
ENSG00000001036,FUCA2,6,-0.098912009,5.251285019,-1.41189746,0.160516909,0.596657831,-5.132481865
ENSG00000001084,GCLC,6,-0.268097214,4.826707979,-1.922075281,0.056920007,0.388649922,-4.330421073
ENSG00000001167,NFYA,6,-0.207601229,4.940421569,-1.929279693,0.056010311,0.387198965,-4.318065582
ENSG00000001460,STPG1,1,0.13579931,3.293010274,1.394399093,0.165722477,0.602661813,-4.997528837
ENSG00000001461,NIPAL3,1,-0.064892267,4.648621212,-0.884263192,0.378287501,0.784111962,-5.676879475
ENSG00000001497,LAS1L,X,-0.031653095,2.307264194,-0.175362162,0.861084787,0.969028577,-5.714861859
ENSG00000001561,ENPP4,6,0.835235497,3.234620264,3.559381826,0.00053004,0.051284396,-0.289842164
ENSG00000001617,SEMA3F,3,0.434694837,0.269709244,0.930462555,0.353962829,0.767708854,-4.995856089
ENSG00000001626,CFTR,7,-0.078410251,6.981180229,-0.692974257,0.489638249,0.84367999,-5.814352089
ENSG00000001629,ANKIB1,7,0.156553837,5.872786904,1.783448019,0.076991217,0.443533207,-4.579182215
ENSG00000001630,CYP51A1,7,0.634406044,3.234073416,3.475629397,0.000705791,0.05751958,-0.537207034
ENSG00000001631,KRIT1,7,0.103044398,5.834972332,0.975572404,0.331200202,0.750382485,-5.62680382
ENSG00000002016,RAD52,12,0.017975826,4.949160781,0.170994536,0.864510363,0.969723629,-6.051846455
ENSG00000002330,BAD,11,-0.051948822,5.036460561,-0.459393566,0.646766277,0.905035102,-5.968432641
ENSG00000002549,LAP3,4,-0.602524864,4.486112206,-2.804864815,0.005856626,0.146447558,-2.406289111
ENSG00000002586,CD99,X,-0.115951067,5.924486354,-0.961749724,0.338071108,0.756794378,-5.640524252
ENSG00000002587,HS3ST1,4,-0.393282556,1.087962307,-1.529145859,0.128808089,0.551725474,-4.520164987
ENSG00000002726,AOC1,7,0.059789791,1.897879677,0.247267027,0.805115778,0.955209761,-5.620035704
ENSG00000002745,WNT16,7,-0.089512671,-0.286476153,-0.334799454,0.738349321,0.934348353,-5.191033812
ENSG00000002746,HECW1,7,0.036284193,3.450142491,0.211375338,0.832945873,0.961625373,-5.891643797
ENSG00000002822,MAD1L1,7,-0.352436341,5.194177538,-1.583876005,0.115801875,0.528247238,-4.887678889
ENSG00000002834,LASP1,17,-0.142686125,7.492761347,-1.316484591,0.190470825,0.631465194,-5.195608983
ENSG00000002919,SNX11,17,0.092783634,6.561707981,1.028879307,0.305564911,0.733905067,-5.558822281
ENSG00000002933,TMEM176A,7,0.013317195,4.528825993,0.077634931,0.938245199,0.985480009,-6.032867374
ENSG00000003056,M6PR,12,0.047857839,6.057499574,0.383883954,0.701730372,0.923504715,-6.008125133
ENSG00000003096,KLHL13,X,0.720678925,-1.30013665,2.319313259,0.02203518,0.25899243,-3.364938141
ENSG00000003137,CYP26B1,2,-0.313516376,0.093846766,-0.668253203,0.505229962,0.852074404,-5.11843382
ENSG00000003147,ICA1,7,0.352256151,4.484996391,2.97968108,0.003480783,0.114903414,-1.965108423
ENSG00000003249,DBNDD1,16,-0.124584511,0.180679702,-0.465331436,0.64252083,0.903526457,-5.223016101
ENSG00000003393,ALS2,2,0.014259236,4.169759549,0.127388704,0.898841765,0.976983404,-5.996870926
ENSG00000003400,CASP10,2,-0.090598055,6.006416594,-0.914585581,0.362207096,0.774672335,-5.679247827
ENSG00000003402,CFLAR,2,-0.219854638,10.32265178,-2.032977523,0.044217362,0.355326383,-3.959453608
ENSG00000003436,TFPI,2,0.018359356,5.867287321,0.300092027,0.764615925,0.941727904,-6.035962194
ENSG00000003509,NDUFAF7,2,0.238855252,4.757736078,1.783245251,0.077024384,0.443585046,-4.559143597
ENSG00000003756,RBM5,3,-0.108627518,8.870463277,-1.280564907,0.20276739,0.645997688,-5.165860008
ENSG00000003987,MTMR7,8,0.078477291,3.425422139,0.546229413,0.585902339,0.884984653,-5.77349469
ENSG00000004059,ARF5,7,0.191804737,6.012086818,1.71909155,0.088125215,0.466392789,-4.681394965
ENSG00000004139,SARM1,17,-0.183718737,2.855576636,-1.43345605,0.154276585,0.58807735,-4.881737877
ENSG00000004142,POLDIP2,17,0.030967238,3.263840212,0.2923989,0.770476621,0.943510002,-5.863141275
ENSG00000004399,PLXND1,3,-0.006235025,4.277075484,-0.033167051,0.973595388,0.99318418,-6.010700983
ENSG00000004455,AK2,1,0.116266709,5.263036753,1.137444046,0.257574029,0.698679364,-5.459052567
ENSG00000004468,CD38,4,0.044634428,3.856387181,0.414629022,0.679139153,0.916201398,-5.887928803
ENSG00000004478,FKBP4,12,-0.028911744,3.711972209,-0.189387345,0.850102878,0.966227092,-5.926112634
ENSG00000004487,KDM1A,1,-0.064088235,3.062227229,-0.518273646,0.605202799,0.891436003,-5.732290736
ENSG00000004534,RBM6,3,-0.046418216,5.470678843,-0.541492016,0.589152594,0.885257973,-5.940904498
ENSG00000004660,CAMKK1,17,-0.009037786,3.411155914,-0.071850089,0.94283846,0.986248206,-5.927939858
ENSG00000004700,RECQL,12,0.082609,3.789671647,0.587536807,0.557925372,0.874050468,-5.795844243
ENSG00000004766,VPS50,7,-0.017035489,5.110606482,-0.110345235,0.912316274,0.980339245,-6.063472673
ENSG00000004776,HSPB6,19,-0.115124804,0.083871875,-0.310021877,0.757071446,0.940057149,-5.249479819
ENSG00000004777,ARHGAP33,19,0.183794182,3.009037757,0.907074608,0.366149331,0.776523707,-5.484382254
ENSG00000004779,NDUFAB1,16,0.163104719,3.957642844,1.483133488,0.140608811,0.56824569,-4.95153595
ENSG00000004799,PDK4,7,-0.494873192,4.143831889,-1.920883735,0.057071656,0.388978631,-4.278597907
ENSG00000004809,SLC22A16,6,-9.97E-05,2.798752608,-0.000561117,0.999553207,0.99960767,-5.815279501
ENSG00000004838,ZMYND10,3,0.383844108,3.113684573,1.727632024,0.086576009,0.464211456,-4.475998017
ENSG00000004846,ABCB5,7,0.259094373,1.986345789,1.891749056,0.060886827,0.398905738,-4.094781166
ENSG00000004848,ARX,X,0.240790393,1.75920051,0.769523834,0.443064634,0.820078261,-5.406841915
ENSG00000004864,SLC25A13,7,0.134881346,5.036853216,1.169151051,0.244614195,0.686910793,-5.417177283
ENSG00000004866,ST7,7,0.038940954,3.628760873,0.243471452,0.808047708,0.956357206,-5.932253145
ENSG00000004897,CDC27,17,-0.007081383,6.926364274,-0.075560465,0.939892129,0.985480009,-6.037538942
ENSG00000004939,SLC4A1,17,-0.28303949,6.743729277,-1.0288602,0.305573854,0.733905067,-5.538496606
ENSG00000004961,HCCS,X,0.181071913,2.777394859,1.423975736,0.15699737,0.59163177,-4.88801737
ENSG00000004975,DVL2,17,-0.150643386,3.675962288,-1.216446563,0.226154992,0.668239727,-5.274822627
ENSG00000005001,PRSS22,16,-0.16863511,-0.27554627,-0.370672514,0.711522065,0.926140309,-5.195059242
ENSG00000005007,UPF1,19,-0.230571656,6.180511327,-2.140814014,0.034271715,0.317419897,-3.926515695
ENSG00000005020,SKAP2,7,0.268119629,8.301786681,1.941201691,0.054531861,0.382688709,-4.214404786
ENSG00000005022,SLC25A5,X,0.199451091,5.579284671,1.788553302,0.076160023,0.441418185,-4.570273521
ENSG00000005059,MCUB,4,-0.29520043,4.432355102,-1.817575716,0.071574538,0.428524457,-4.482872504
ENSG00000005075,POLR2J,7,-0.215801529,3.726457433,-1.758200673,0.081212471,0.45278666,-4.533506769
ENSG00000005100,DHX33,17,-0.050011278,1.994853574,-0.482626542,0.630222805,0.900462159,-5.554795905
ENSG00000005102,MEOX1,17,-0.386478677,-0.958187057,-1.466239961,0.14514688,0.576130155,-4.438418743
ENSG00000005108,THSD7A,7,0.360395528,-0.071975949,0.996842497,0.32080722,0.741974894,-4.894389947
ENSG00000005156,LIG3,17,-0.128181264,4.436863756,-1.154469795,0.250556223,0.69258116,-5.40763763
ENSG00000005175,RPAP3,12,-0.097638429,4.618845912,-0.784236926,0.43441591,0.815952031,-5.753507878
ENSG00000005187,ACSM3,16,-0.022721098,6.429415738,-0.240723749,0.810171904,0.956703823,-6.038444325
ENSG00000005189,REXO5,16,0.255932011,1.965215731,1.285268385,0.201124697,0.643714658,-4.946125502
ENSG00000005194,CIAPIN1,16,0.092220119,3.842577716,0.854878375,0.394288381,0.793900676,-5.626600075
ENSG00000005206,SPPL2B,19,-0.162589302,4.135034015,-1.225181535,0.22285883,0.665990488,-5.294036431
ENSG00000005238,FAM214B,9,0.000426484,5.77146411,0.003533919,0.997186099,0.998725324,-6.078257905
ENSG00000005243,COPZ2,17,-0.389747955,0.824095493,-0.913908704,0.362561257,0.774672335,-5.06221216
ENSG00000005249,PRKAR2B,7,0.420009908,4.688155477,1.892256203,0.060818631,0.398905738,-4.371711518
ENSG00000005302,MSL3,X,-0.005487981,7.069765638,-0.040835781,0.967493337,0.991244205,-6.032473789
ENSG00000005339,CREBBP,16,-0.242255881,8.678041227,-2.404817491,0.017678173,0.234609679,-3.289347036
ENSG00000005379,TSPOAP1,17,-0.014971642,2.876845583,-0.093529252,0.925636009,0.983193279,-5.824290193
ENSG00000005381,MPO,17,0.462339955,3.017098491,1.611194281,0.109712693,0.513952721,-4.659570836
ENSG00000005421,PON1,7,0.066549193,-0.400288917,0.201387989,0.84072944,0.963985758,-5.204051646
ENSG00000005436,GCFC2,2,-0.224387614,3.132776435,-1.73019151,0.086116088,0.463694819,-4.496998932
ENSG00000005448,WDR54,2,-0.156764375,1.840223213,-0.821809485,0.412782983,0.805552245,-5.351818437
ENSG00000005469,CROT,7,-0.204983071,3.064973885,-1.752352996,0.082216833,0.45504381,-4.465207669
ENSG00000005471,ABCB4,7,-0.414619899,1.78992953,-1.506492387,0.134516853,0.560739587,-4.623243607
ENSG00000005483,KMT2E,7,-0.075918328,8.003366676,-0.656959964,0.512439803,0.853667479,-5.778351014
ENSG00000005486,RHBDD2,7,0.078671137,5.63393981,0.709093844,0.479614465,0.839896397,-5.84140484
ENSG00000005700,IBTK,6,0.206927767,4.127435004,1.875574166,0.06309574,0.404999061,-4.353614898
ENSG00000005801,ZNF195,11,-0.054112061,4.952926383,-0.613164354,0.540905162,0.867321627,-5.886935732
ENSG00000005810,MYCBP2,13,-0.117892272,6.248113263,-1.06591986,0.288557555,0.723783746,-5.534061621
ENSG00000005812,FBXL3,13,0.031697661,6.175458882,0.295081173,0.768431714,0.9424113,-6.031605308
ENSG00000005844,ITGAL,16,-0.234483545,6.86039091,-1.9017399,0.05955511,0.396508083,-4.35111622
ENSG00000005882,PDK2,17,-0.28812478,3.684965299,-1.661750017,0.099121579,0.491962538,-4.673996841
ENSG00000005884,ITGA3,17,0.109259991,2.810770464,0.620911064,0.535812461,0.865543206,-5.634758484
ENSG00000005889,ZFX,X,-0.108158706,6.654174061,-1.02786848,0.306038284,0.734487266,-5.542483843
ENSG00000005893,LAMP2,X,-0.041188335,7.829750565,-0.348116831,0.728350325,0.931379588,-5.93521099
ENSG00000005961,ITGA2B,17,0.291491287,4.55900696,1.239360978,0.217582534,0.661195277,-5.321392747
ENSG00000005981,ASB4,7,-0.105071832,3.637296537,-1.172224649,0.24338298,0.685620106,-5.312459107
ENSG00000006007,GDE1,16,-0.229958276,6.102893373,-2.054706766,0.042035218,0.347203604,-4.09218342
ENSG00000006015,REX1BD,19,-0.066375199,3.953430195,-0.82758929,0.409513464,0.803700826,-5.665524608
ENSG00000006016,CRLF1,19,-0.220884436,2.603641568,-1.442731086,0.151649956,0.583396204,-4.844319596
ENSG00000006025,OSBPL7,17,-0.163115791,1.726180366,-0.885481415,0.377632999,0.783792386,-5.265314536
ENSG00000006042,TMEM98,17,-0.020689384,2.018706311,-0.098673874,0.921558598,0.982773092,-5.665923502
ENSG00000006047,YBX2,17,-0.203256185,2.393821165,-1.015696608,0.311777039,0.737065474,-5.306994002
ENSG00000006059,KRT33A,17,0.157985804,-1.887498719,0.363528313,0.716837269,0.927540072,-5.019142785
ENSG00000006062,MAP3K14,17,-0.540573473,3.404172611,-3.21430102,0.001672047,0.082496624,-1.285019321
ENSG00000006071,ABCC8,11,0.141409683,2.443317788,0.705231864,0.482005623,0.840394711,-5.534651753
ENSG00000006116,CACNG3,16,-0.00232126,-0.991713721,-0.008976033,0.992852869,0.997090258,-5.164686136
ENSG00000006118,TMEM132A,11,-0.142375427,3.878258931,-1.043282221,0.298873394,0.731372823,-5.476191603
ENSG00000006125,AP2B1,17,0.100068604,6.757313134,1.00690028,0.315968726,0.738951324,-5.567910474
ENSG00000006128,TAC1,7,0.096973881,-0.728640101,0.197969251,0.843397475,0.964370834,-5.200257624
ENSG00000006194,ZNF263,16,-0.113294628,3.55650559,-1.1851317,0.238260843,0.681689714,-5.278880402
ENSG00000006210,CX3CL1,16,-0.076250318,-0.106955078,-0.370519159,0.711636012,0.926140309,-5.219824934
ENSG00000006282,SPATA20,17,-0.511343581,4.534709654,-2.89637254,0.004472807,0.129065265,-2.190253221
ENSG00000006283,CACNA1G,17,0.115359379,2.830214906,1.14512492,0.254391156,0.696574675,-5.222072865
ENSG00000006327,TNFRSF12A,16,-0.251125279,1.53584687,-1.010992215,0.314014171,0.738396082,-5.137084133
ENSG00000006377,DLX6,7,-0.399506634,2.659333623,-2.232429607,0.027404782,0.288191836,-3.554003921
ENSG00000006432,MAP3K9,14,-0.239739654,0.614526041,-1.173409674,0.242909465,0.685374377,-4.832590399
ENSG00000006451,RALA,7,-0.004099128,4.126797806,-0.037913063,0.969818753,0.991676402,-6.004459368
ENSG00000006453,BAIAP2L1,7,0.202193489,4.668521696,1.838533447,0.068407625,0.419777183,-4.461844602
ENSG00000006459,KDM7A,7,-0.088664191,6.531456539,-0.826190758,0.410303153,0.80400418,-5.734734727
ENSG00000006468,ETV1,7,0.289384526,1.725700943,0.996032062,0.321199219,0.741974894,-5.18306914
ENSG00000006530,AGK,7,0.037925982,6.701166479,0.532546779,0.595312636,0.88799705,-5.918479343
ENSG00000006534,ALDH3B1,11,0.334159615,5.506191962,2.612226456,0.010121458,0.178624272,-2.908270264
ENSG00000006555,TTC22,1,-0.34588868,2.212434492,-2.743817324,0.006986301,0.156167306,-2.434698832
ENSG00000006576,PHTF2,7,-0.011848896,4.952541021,-0.08975974,0.928624827,0.983716502,-6.060999456
ENSG00000006606,CCL26,7,0.353701277,-2.851189775,0.859713518,0.391627374,0.792565921,-4.784492518
ENSG00000006607,FARP2,2,-0.072422805,4.76162047,-0.633793141,0.527398227,0.86067915,-5.865655566
ENSG00000006611,USH1C,11,0.936654904,0.991644701,1.75227956,0.082229511,0.45504381,-4.185339516
ENSG00000006625,GGCT,7,-0.11336321,1.186595206,-0.62915728,0.530418373,0.861689255,-5.357321687
ENSG00000006634,DBF4,7,0.22749679,2.997308292,1.329340138,0.186207723,0.628245689,-5.035569931
ENSG00000006638,TBXA2R,19,-0.189551939,1.948755392,-1.024977976,0.30739463,0.734710925,-5.218369677
ENSG00000006652,IFRD1,7,-0.157113085,7.868653016,-1.122579416,0.263812962,0.703932834,-5.39593803
ENSG00000006659,LGALS14,19,-0.148453945,2.697959136,-1.155901662,0.249972245,0.692574719,-5.187529433
ENSG00000006695,COX10,17,-0.104354873,3.554504719,-1.352832403,0.17860239,0.617755474,-5.084985183
ENSG00000006704,GTF2IRD1,7,-0.009310941,0.906913977,-0.052351185,0.958334197,0.989850214,-5.443736986
ENSG00000006712,PAF1,19,-0.162875569,4.281424981,-1.333218203,0.184935815,0.627129778,-5.186464201
ENSG00000006715,VPS41,7,0.056032648,6.08894484,0.489642456,0.62526317,0.899263445,-5.960868324
ENSG00000006740,ARHGAP44,17,-0.144363636,1.843495438,-0.636360736,0.525729332,0.859620148,-5.460814514
ENSG00000006744,ELAC2,17,0.020041159,4.51370956,0.173120529,0.862842598,0.96931209,-6.024606757
ENSG00000006747,SCIN,7,-0.015794412,4.344567399,-0.146208626,0.883997178,0.973609111,-6.022643438
ENSG00000006756,ARSD,X,0.065815269,4.413170874,0.852048024,0.395851183,0.794475632,-5.695789436
ENSG00000006757,PNPLA4,X,0.035685656,3.061403509,0.433996709,0.665054716,0.912994183,-5.78528833
ENSG00000006831,ADIPOR2,12,0.046319691,6.318504019,0.46663853,0.641587865,0.903114018,-5.963654539
ENSG00000006837,CDKL3,5,-0.173201504,2.958898833,-1.073646494,0.285092849,0.721778132,-5.324383948
ENSG00000007001,UPP2,2,0.798234371,2.274616511,3.386980533,0.00095071,0.065971232,-0.7977849
ENSG00000007038,PRSS21,16,0.247676837,0.713366598,0.610124342,0.54291034,0.867918856,-5.290578426
ENSG00000007047,MARK4,19,-0.009242514,5.197347951,-0.113976607,0.909443047,0.979053393,-6.070132915
ENSG00000007062,PROM1,4,0.029022996,1.63813779,0.103024999,0.918111704,0.982315845,-5.557758672
ENSG00000007080,CCDC124,19,-0.001626922,3.344366302,-0.012670167,0.989911565,0.996473218,-5.918276542
ENSG00000007129,CEACAM21,19,-0.03267262,4.514113644,-0.288115475,0.773745557,0.943550695,-6.00321964
ENSG00000007168,PAFAH1B1,17,-0.019951312,7.479711834,-0.310059799,0.757042678,0.940057149,-5.967611532
ENSG00000007171,NOS2,17,-0.055340232,-0.168049184,-0.167900004,0.866939001,0.970093746,-5.246470517
ENSG00000007174,DNAH9,17,0.070517068,2.071361169,0.308994336,0.757851076,0.940057149,-5.65061174
ENSG00000007202,KIAA0100,17,-0.065434051,6.126961173,-0.83802661,0.403648934,0.799768388,-5.741327245
ENSG00000007216,SLC13A2,17,-0.237133722,-1.296653282,-0.594190885,0.553480906,0.872056704,-5.010214977
ENSG00000007237,AC005747.1,17,0.129167733,8.291531283,0.872381352,0.384708161,0.787435439,-5.602497162
ENSG00000007255,TRAPPC6A,19,-0.214418452,3.23105645,-1.097025616,0.274783359,0.713532398,-5.322436322
ENSG00000007264,MATK,19,0.001555167,3.520650969,0.010776451,0.991419344,0.996629242,-5.934704698
ENSG00000007306,CEACAM7,19,0.295877076,-0.382351248,0.844656356,0.399950382,0.797207788,-5.001429824
ENSG00000007312,CD79B,17,-0.5534595,3.777968901,-2.139104287,0.034412885,0.317873223,-3.840646529
ENSG00000007314,SCN4A,17,-0.149845665,-0.082531833,-0.305470802,0.760526392,0.940743259,-5.222590858
ENSG00000007341,ST7L,1,0.290251025,5.368480992,2.601050064,0.010438931,0.181607709,-2.934201506
ENSG00000007350,TKTL1,X,0.189123822,0.321887038,0.503355624,0.615618748,0.895827044,-5.318460382
ENSG00000007372,PAX6,11,0.144183057,2.790331766,0.884944535,0.377921356,0.784111962,-5.466863882
ENSG00000007376,RPUSD1,16,-0.113440307,3.527192693,-1.243204711,0.216168037,0.660597429,-5.214565224
ENSG00000007384,RHBDF1,16,0.379464756,0.691274555,0.900434387,0.369657018,0.77832797,-5.051369081
ENSG00000007392,LUC7L,16,-0.008389965,4.57449808,-0.115411347,0.908308176,0.979040787,-6.036849501
ENSG00000007402,CACNA2D2,3,-0.167640476,0.74726767,-0.646096453,0.519426201,0.857025215,-5.238036932
ENSG00000007516,BAIAP3,16,-0.041821664,2.58499186,-0.192802408,0.847433203,0.965596685,-5.786092457
ENSG00000007520,TSR3,16,0.164758403,2.847016427,1.182575737,0.239269006,0.681691847,-5.173839636
ENSG00000007541,PIGQ,16,-0.200581657,4.331771103,-1.860335424,0.065237766,0.411186111,-4.406005009
ENSG00000007545,CRAMP1,16,-0.079256435,3.542914807,-0.501208852,0.617124193,0.896343546,-5.82372145
ENSG00000007866,TEAD3,6,0.126184977,-0.314072647,0.501591643,0.616855637,0.896202656,-5.175737828
ENSG00000007908,SELE,1,-0.155594855,-1.134206228,-0.38654934,0.699760915,0.922924381,-5.074832463
ENSG00000007923,DNAJC11,1,-0.032082127,4.289243083,-0.26755121,0.789495022,0.949197365,-5.984171076
ENSG00000007933,FMO3,1,-0.280619414,1.848836009,-1.23995414,0.217363811,0.66097385,-4.990973262
ENSG00000007944,MYLIP,6,-0.407000752,5.092330527,-2.821403386,0.005580697,0.142856512,-2.394827443
ENSG00000007952,NOX1,X,-0.242120766,-1.772162496,-0.755479429,0.451412467,0.826607485,-4.931573398
ENSG00000007968,E2F2,1,0.214117754,4.549985884,1.298169376,0.196669496,0.637863922,-5.25416746
ENSG00000008018,PSMB1,6,0.149626023,5.51373839,1.510734824,0.13343293,0.559394245,-4.998787948
ENSG00000008056,SYN1,X,0.691933247,-0.533966512,2.461295412,0.015237018,0.217283681,-3.061251141
ENSG00000008083,JARID2,6,-0.17655443,4.601334437,-1.632988861,0.105040749,0.501915337,-4.789481064
ENSG00000008086,CDKL5,X,0.066395321,6.016931134,0.842760887,0.401005701,0.798011344,-5.738275708
ENSG00000008118,CAMK1G,1,-0.126198805,-0.630868894,-0.34124122,0.733506976,0.932674031,-5.160835611
ENSG00000008128,CDK11A,1,-0.322375081,4.969141758,-3.041747133,0.002878157,0.106569156,-1.81758203
ENSG00000008130,NADK,1,-0.349150038,8.247105914,-2.823186462,0.005551669,0.142856512,-2.331462218
ENSG00000008196,TFAP2B,6,0.417985194,-1.076770437,1.046059446,0.297594583,0.730640353,-4.774200001
ENSG00000008197,TFAP2D,6,0.56443326,-1.537368801,1.339233285,0.18297591,0.623762974,-4.529186812
ENSG00000008226,DLEC1,3,-0.180179062,3.510548765,-1.309087158,0.192956682,0.633546858,-5.136525509
ENSG00000008256,CYTH3,7,0.166253006,2.991465131,0.985916356,0.326118709,0.746425089,-5.405203933
ENSG00000008277,ADAM22,7,0.049672129,2.311788115,0.35531577,0.72296449,0.929770569,-5.682067887
ENSG00000008282,SYPL1,7,0.231782474,5.148554843,1.978023012,0.050172114,0.372210968,-4.233110104
ENSG00000008283,CYB561,17,-0.247072429,2.964944009,-1.5943295,0.113440785,0.522630085,-4.692262897
ENSG00000008294,SPAG9,17,-0.271858568,7.554907089,-2.557884926,0.011750961,0.193039782,-2.99016491
ENSG00000008300,CELSR3,3,-0.479114074,-0.422782027,-1.944656021,0.054109696,0.381473779,-3.886310084
ENSG00000008311,AASS,7,-0.158597545,2.289187039,-1.773396712,0.078649552,0.447885163,-4.333447873
ENSG00000008323,PLEKHG6,12,-0.315845227,4.683109028,-2.416758275,0.017134885,0.231075448,-3.341852643
ENSG00000008324,SS18L2,3,0.140593941,2.800814883,0.574015965,0.567010143,0.878907974,-5.64625678
ENSG00000008382,MPND,19,0.02870746,4.113914817,0.181122597,0.85657087,0.967774807,-5.999215555
ENSG00000008394,MGST1,12,0.229367063,6.259460436,1.891809048,0.060878757,0.398905738,-4.387109276
ENSG00000008405,CRY1,12,-0.134873267,2.025980323,-0.948150286,0.344920835,0.762730252,-5.287744877
ENSG00000008438,PGLYRP1,19,0.48905131,7.23681556,2.170029618,0.031935713,0.307715859,-3.828526977
ENSG00000008441,NFIX,19,-0.232419057,4.614220944,-1.098406326,0.27418267,0.712841487,-5.485798094
ENSG00000008513,ST3GAL1,8,-0.295951536,6.497962623,-3.324705609,0.001168209,0.07076339,-1.02355934
ENSG00000008516,MMP25,16,-0.284307565,8.881187407,-1.623506377,0.107053416,0.507040172,-4.701151789
ENSG00000008517,IL32,16,-0.390153799,5.353691122,-1.965333305,0.051639983,0.375052989,-4.261962941
ENSG00000008710,PKD1,16,0.132432534,4.065324464,0.817024852,0.415501362,0.807017205,-5.676841652
ENSG00000008735,MAPK8IP2,22,-0.095390949,-0.24466395,-0.480255237,0.631902946,0.900894364,-5.170454715
ENSG00000008838,MED24,17,0.100737107,5.225501704,1.159606852,0.248465576,0.690855503,-5.435356274
ENSG00000008853,RHOBTB2,8,-0.192863024,4.193631376,-1.181599998,0.239654675,0.681691847,-5.347560155
ENSG00000008869,HEATR5B,2,0.04158042,6.532424998,0.557867411,0.577953662,0.883225967,-5.913570426
ENSG00000008952,SEC62,3,0.149582375,7.034191282,1.063539215,0.289630828,0.724629801,-5.501175041
ENSG00000008988,RPS20,8,-0.123182117,7.282532594,-0.98037339,0.328835293,0.748058027,-5.57217621
ENSG00000009307,CSDE1,1,0.02150531,8.143819731,0.193684446,0.846743969,0.965274595,-5.955080372
ENSG00000009335,UBE3C,7,0.144126384,5.69190325,1.578226836,0.117094012,0.530391588,-4.90213901
ENSG00000009413,REV3L,6,-0.097536988,6.267354081,-1.071461419,0.286069759,0.722367019,-5.526870182
ENSG00000009694,TENM1,X,-0.135013631,2.889313794,-0.48048673,0.631738842,0.900894364,-5.729811297
ENSG00000009709,PAX7,1,-0.010970646,-1.560940655,-0.029453133,0.976551159,0.993882293,-5.08414726
ENSG00000009724,MASP2,1,-0.158767869,2.43484547,-1.602974824,0.111517239,0.518045511,-4.605714584
ENSG00000009765,IYD,6,0.149319445,1.970031229,0.932904778,0.352705415,0.766294801,-5.262861348
ENSG00000009780,FAM76A,1,-0.006361167,4.715067238,-0.079682933,0.936619542,0.9850331,-6.049937184
ENSG00000009790,TRAF3IP3,1,0.012123131,6.779687573,0.126249812,0.899741294,0.977126326,-6.042061153
ENSG00000009830,POMT2,14,0.027283112,4.44710729,0.315404486,0.75299158,0.939461803,-5.988386992
ENSG00000009844,VTA1,6,0.300210311,4.992370555,2.520478619,0.013005712,0.201709746,-3.111996768
ENSG00000009950,MLXIPL,7,0.042762555,1.474910427,0.250458603,0.802652558,0.954023701,-5.554175118
ENSG00000009954,BAZ1B,7,0.056577951,3.394013925,0.482404558,0.630380006,0.900462159,-5.799306398
ENSG00000010017,RANBP9,6,0.322407365,5.28656236,2.224827134,0.027924966,0.290461465,-3.757191324
ENSG00000010030,ETV7,6,-0.833104302,1.915931152,-2.588556062,0.010804424,0.184985454,-2.769709965
ENSG00000010072,SPRTN,1,0.087999926,3.989827817,0.776451438,0.438980061,0.817558604,-5.706556104
ENSG00000010165,EEF1AKNMT,1,-0.083807927,3.001262974,-0.547781041,0.584839626,0.884797869,-5.706183175
ENSG00000010219,DYRK4,12,0.298717586,4.616858183,1.634903353,0.104638108,0.501337527,-4.786069203
ENSG00000010244,ZNF207,17,0.142641268,8.663309054,1.265134405,0.208225954,0.652514797,-5.196383175
ENSG00000010256,UQCRC1,3,0.276397256,5.994724801,2.027386285,0.04479427,0.35720821,-4.145055712
ENSG00000010270,STARD3NL,7,0.291078672,5.110688446,3.314802617,0.001206814,0.071999491,-1.055440205
ENSG00000010278,CD9,12,0.108353204,4.838956277,0.677578927,0.499317248,0.849109339,-5.844049958
ENSG00000010282,HHATL,3,-0.847494693,0.669222597,-1.844692705,0.067499381,0.416851828,-4.048559101
ENSG00000010292,NCAPD2,12,0.091140469,4.698450808,0.837444099,0.403974888,0.799844132,-5.720833302
ENSG00000010295,IFFO1,12,-0.13999842,4.015852656,-1.454410426,0.148391647,0.57883968,-4.998310032
ENSG00000010310,GIPR,19,0.021076487,4.51712143,0.217075704,0.828510701,0.960985939,-6.017573462
ENSG00000010318,PHF7,3,0.093261237,4.077548832,0.95593853,0.340987182,0.760169893,-5.568039269
ENSG00000010319,SEMA3G,3,-0.255759847,-0.379777069,-0.619137376,0.536976326,0.865894606,-5.059258524
