gene_id,gene_name,chr,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000204899,MZT1,13,0.479937738,0.969034914,2.238764093,0.026977841,0.286545891,-3.428550722
ENSG00000204909,SPINK9,5,0.007540772,6.155534988,0.062221128,0.950488209,0.988904291,-6.071017311
ENSG00000204913,LRRC3C,17,-0.159318017,-2.208745521,-0.343435607,0.731859868,0.932457286,-4.984766223
ENSG00000204920,ZNF155,19,0.062948351,3.328693741,0.483736289,0.62943718,0.900337376,-5.799311213
ENSG00000204922,UQCC3,11,-0.028437062,2.576163602,-0.293089619,0.769949877,0.943053723,-5.745652756
ENSG00000204923,FBXO48,2,0.009562872,2.653359796,0.120702848,0.904124283,0.978113266,-5.793780926
ENSG00000204930,FAM221B,9,-0.19822976,0.850083952,-0.654725115,0.513872987,0.853849791,-5.279386864
ENSG00000204936,CD177,19,1.053495365,9.383943517,2.579296417,0.011082689,0.187215056,-2.875192528
ENSG00000204941,PSG5,19,0.106666477,2.488229809,0.368355116,0.713244643,0.927023197,-5.70390542
ENSG00000204946,ZNF783,7,-0.355635636,1.991149433,-1.944582752,0.054118621,0.381473779,-4.014504674
ENSG00000204947,ZNF425,7,-0.10927092,1.958503504,-0.660627684,0.510092314,0.853450365,-5.48758193
ENSG00000204954,C12orf73,12,-0.025723652,3.03965621,-0.177998933,0.859018015,0.969028577,-5.832980078
ENSG00000204956,PCDHGA1,5,0.255372104,0.835797347,2.136124156,0.034660154,0.319033333,-3.60486761
ENSG00000204961,PCDHA9,5,0.026297032,-0.054532958,0.193302207,0.84704264,0.965448713,-5.271740623
ENSG00000204965,PCDHA5,5,-0.05445359,-0.474243129,-0.317309528,0.751549276,0.939238628,-5.197403621
ENSG00000204967,PCDHA4,5,0.059476537,3.597290012,0.779192688,0.437369863,0.817130137,-5.662261154
ENSG00000204977,TRIM13,13,0.079320957,6.830033475,0.678744648,0.49858078,0.848439684,-5.827274259
ENSG00000204978,ERICH4,19,-0.078893232,0.544291703,-0.274266025,0.784342446,0.947031199,-5.33332482
ENSG00000204979,MS4A13,11,-0.00807007,-1.901767066,-0.018449228,0.985310515,0.996052199,-5.076409819
ENSG00000204983,PRSS1,7,-0.076638864,0.861321539,-0.21462827,0.830414259,0.961240118,-5.415409184
ENSG00000204991,SPIRE2,16,0.024825047,3.751980137,0.266871764,0.790016915,0.949385874,-5.93259694
ENSG00000205002,AARD,8,-0.127773613,1.295243578,-0.674269515,0.50141122,0.849346464,-5.352304994
ENSG00000205022,PABPN1L,16,-0.039284906,-0.347445191,-0.10966178,0.91285717,0.980465667,-5.263660922
ENSG00000205038,PKHD1L1,8,-0.136295629,1.208136944,-0.744120522,0.458229464,0.829606632,-5.276228331
ENSG00000205045,SLFN12L,17,0.05984424,6.800604781,0.542772477,0.58827326,0.885162406,-5.908470467
ENSG00000205057,CLLU1OS,12,-0.744216002,-2.588104925,-1.712879385,0.089266232,0.46918454,-4.200499005
