"","mean","sd"
"apacheiii",0.67953869047619,0.141976854935072
"SRSq",0.604255952380952,0.146857504667142
"death1_scores",0.760555555555556,0.0946596812107118
"death2_scores",0.658839285714286,0.124727203746049
"death3_scores",0.777003968253968,0.109681060909334
"death4_scores",0.749275793650794,0.135709169383973
"host_microbe",0.79844246031746,0.112321080709022
"host",0.782291666666667,0.107673605512559
"microbe",0.649265873015873,0.124975396766176
